problem	your dislikes	minimal dislikes
1	2671	624
2	1037	193
3	1643	209
4	303	0
5	305	54
6	18352	2663
7	3140	120
8	2087	1040
9	11423	788
10	1341	29
11	0	0
12	0	0
13	0	0
14	116	116
15	0	0
16	0	0
17	0	0
18	0	0
19	5318	5318
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	2468	2423
28	3284	3216
29	3134	3114
30	1965	1837
31		10457
32		1894
33	3864	2362
34	1289	0
35	748	0
36	1533	1444
37		1683
38	364	0
39	0	0
40		3768
41	270	0
42	2147	1655
43		0
44	11338	8706
45	7496	6379
46	1183	0
47	537	0
48	10517	3617
49	78	0
50	7770	3299
51		0
52	1661	0
53	9701	0
54		0
55	3850	0
56	6020	3021
57		4514
58	4501	2171
59	4306	0
60	4122	304
61	30359	12587
62	50366	4181
63	7660	0
64	218947	6205
65	147374	0
66	13028	7585
67		0
68		11032
69	7921	738
70	168	0
71	100643	5230
72	7084	0
73	1730	0
74	115167	2383
75	372092	9083
76	69125	193
77	764	0
78	61373	193
